RecipientEmail,Gender,BirthYear,Race,Nationality,Relationship,Childhood_HH_Size,Current_HH_Size,Residential_Area_Type,Num_lang,Curiosity,Conscientousness,Extraversion,Agreeableness,Confidence
24,Female,1990,Asian,United States of America,In a relationship more than 1 year,3,3,Urban ,3,6,4,4,4,3
2,Female,1988,Asian,China,In a relationship more than 1 year,5,2,Urban ,3,4,5,3,5,4
32,Female,1987,Asian,China,In a relationship more than 1 year,4,4,Suburban ,2,5,6,2,3,3
50,Male,1990,Asian,United States of America,In a relationship more than 1 year,4,3,Urban ,1,5,6,3,5,3
62,Male,1987,White,United States of America,In a relationship more than 1 year,9,4,Suburban ,1,5,4,4,3,4
54,Male,1989,Asian,China,In a relationship more than 1 year,6,3,Suburban ,2,-99,6,3,4,5
41,Female,1984,White,United States of America,Not in a relationship,5,3,Suburban ,1,5,5,6,3,4
12,Male,1970,Asian,United States of America,In a relationship more than 1 year,4,4,Suburban ,3,6,5,3,1,4
11,Female,1989,Black or African American,United States of America,In a relationship more than 1 year,9,3,Suburban ,1,6,5,3,5,5
57,Female,1994,White,United States of America,In a relationship more than 1 year,5,2,Urban ,2,5,3,6,3,5
61,Female,1979,"White,Asian",United States of America,In a relationship more than 1 year,5,3,Urban ,1,6,6,3,4,6
23,Female,1971,Asian,United States of America,In a relationship more than 1 year,11,5,Suburban ,2,3,6,2,5,3
18,Female,1974,Asian,United States of America,In a relationship more than 1 year,16,5,Suburban ,2,6,6,6,6,5
39,Male,1978,Asian,United States of America,In a relationship more than 1 year,4,2,Suburban ,3,6,5,2,4,4
13,Female,1965,White,United States of America,In a relationship more than 1 year,4,4,Urban ,2,6,5,3,5,3
71,Male,1983,White,United States of America,In a relationship more than 1 year,10,6,Suburban ,2,4,4,2,5,4
19,Female,1979,Asian,India,In a relationship more than 1 year,7,4,Suburban ,3,3,4,2,3,6
3,Male,1981,Asian,India,In a relationship more than 1 year,4,3,Urban ,2,2,1,2,5,1
43,Male,1995,Asian,India,Not in a relationship,3,4,Suburban ,3,5,2,1,3,1
48,Female,1959,White,United States of America,In a relationship more than 1 year,6,1,Suburban ,2,5,6,4,6,5
25,Female,1995,White,Romania,Not in a relationship,4,4,Suburban ,3,6,5,4,5,4
64,Female,1969,Asian,India,In a relationship more than 1 year,5,4,Suburban ,3,2,5,4,6,6
14,Male,1984,Asian,India,In a relationship more than 1 year,3,3,Suburban ,2,6,5,1,6,4
9,Female,1988,"Latinx or Hispanic,Black or African American",United States of America,Not in a relationship,7,4,Suburban ,2,5,6,2,5,3
51,Male,1977,White,United States of America,Not in a relationship,4,1,Urban ,2,5,5,6,6,4
29,Female,1980,Asian,India,In a relationship more than 1 year,4,4,Suburban ,2,5,5,5,4,4
28,Female,1969,Asian,United States of America,In a relationship more than 1 year,4,3,Suburban ,4,5,6,4,4,4
46,Female,1986,Asian,United States of America,In a relationship more than 1 year,3,3,Suburban ,2,4,4,4,4,4
27,Female,1978,White,United States of America,In a relationship more than 1 year,4,4,Suburban ,1,3,6,3,6,3
69,Female,1980,Asian,India,In a relationship more than 1 year,6,4,Suburban ,5,4,4,3,4,4
8,Female,1967,Other,Canada,In a relationship more than 1 year,4,4,Urban ,1,6,6,4,4,5
10,Female,1974,White,United States of America,In a relationship more than 1 year,7,5,Suburban ,2,5,5,2,3,3
55,Female,1989,Asian,China,In a relationship more than 1 year,3,3,Urban ,2,5,5,4,6,4
60,Female,1990,Asian,China,In a relationship more than 1 year,5,3,Urban ,3,3,4,3,3,5
37,Female,1978,Asian,India,In a relationship more than 1 year,4,4,Suburban ,5,6,6,4,4,5
70,Female,1985,White,United States of America,Not in a relationship,3,1,Suburban ,2,5,5,3,3,3
1,Female,1975,Asian,India,In a relationship more than 1 year,4,4,Suburban ,4,2,4,2,3,4
56,Non-binary ,1975,"White,Other",Greece,In a relationship more than 1 year,4,2,Urban ,3,6,5,3,4,2
72,Male,1984,Asian,United States of America,In a relationship more than 1 year,4,2,Urban ,2,6,4,3,5,4
34,Female,1979,White,United States of America,In a relationship more than 1 year,4,4,Suburban ,1,3,6,4,6,3
4,Female,1992,White,Greece,In a relationship more than 1 year,5,1,Suburban ,2,5,5,2,3,4
20,Female,1976,Asian,India,In a relationship more than 1 year,5,4,Urban ,3,6,6,6,6,6
31,Male,1974,Asian,India,In a relationship more than 1 year,5,4,Urban ,2,4,5,3,4,4
65,Female,1976,Asian,India,In a relationship more than 1 year,6,4,Suburban ,3,5,5,4,5,5
63,Female,1980,Asian,United States of America,In a relationship more than 1 year,5,3,Suburban ,4,6,4,5,3,6
26,Female,1967,Asian,India,In a relationship more than 1 year,4,4,Suburban ,3,4,5,3,4,4
30,Female,1979,Asian,India,In a relationship more than 1 year,5,4,Suburban ,3,6,5,5,5,5
42,Female,1976,Asian,India,In a relationship more than 1 year,5,4,Suburban ,3,5,5,3,5,4
53,Female,1974,Asian,India,I do not want to say,5,4,Suburban ,4,-99,-99,-99,5,6
6,Male,1968,Asian,United States of America,In a relationship more than 1 year,6,5,Suburban ,4,4,4,1,1,5
49,Female,1978,Asian,United States of America,In a relationship more than 1 year,5,4,Suburban ,2,5,6,3,3,5
67,Female,1988,White,Australia,In a relationship more than 1 year,5,2,Suburban ,1,4,6,2,4,4
66,Female,1967,Asian,India,In a relationship more than 1 year,4,4,Suburban ,3,3,6,2,5,5
38,Male,1988,Asian,China,In a relationship more than 1 year,3,2,Urban ,2,5,5,4,5,5
58,Female,1989,Asian,China,In a relationship more than 1 year,3,2,Urban ,2,6,6,3,5,5
16,Female,1975,Asian,India,I do not want to say,5,4,Suburban ,4,4,5,3,5,4
40,Male,1988,Asian,China,In a relationship more than 1 year,3,3,Suburban ,2,5,6,3,3,4
5,Female,1988,Asian,China,In a relationship more than 1 year,4,2,Urban ,2,4,5,4,4,5
33,Male,1988,Asian,China,In a relationship more than 1 year,4,2,Suburban ,2,6,5,3,4,4
44,Female,1988,Asian,China,In a relationship more than 1 year,3,3,Suburban ,2,4,5,5,3,6
35,Male,1988,Asian,China,In a relationship more than 1 year,4,4,Suburban ,3,4,5,2,5,3
47,Male,1988,Asian,China,In a relationship more than 1 year,3,2,Urban ,2,5,5,3,3,5
